date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:30:34	612/612	---M--	404	error ('Not%20Found')	text/html	etag:%225a2f9be0-264%22	http://demo.designwall.com/robots.txt		(from )
06:30:37	167369/167369	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Jun%202023%2005:30:35%20GMT	http://demo.designwall.com/dw-focus/	C:/Users/kcjon/OneDrive/Desktop/news%20template/demo.designwall.com/dw-focus/index.html	(from )
06:30:39	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Thu,%2008%20Jun%202023%2005:30:37%20GMT	http://demo.designwall.com/dw-focus/xmlrpc.php	C:/Users/kcjon/OneDrive/Desktop/news%20template/demo.designwall.com/dw-focus/xmlrpc.php	(from http://demo.designwall.com/dw-focus/)
06:30:40	3382/3382	---MCZ	200	added ('OK')	text/css	etag:W/%2258784ca2-d36%22	http://demo.designwall.com/dw-focus/wp-content/plugins/awesome-weather/awesome-weather.css?ver=4.7.26	C:/Users/kcjon/OneDrive/Desktop/news%20template/demo.designwall.com/dw-focus/wp-content/plugins/awesome-weather/awesome-weatherc4fe.css	(from http://demo.designwall.com/dw-focus/)
06:30:41	167478/167478	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Jun%202023%2005:30:39%20GMT	http://demo.designwall.com/dw-focus/page/2/	C:/Users/kcjon/OneDrive/Desktop/news%20template/demo.designwall.com/dw-focus/page/2/index.html	(from http://demo.designwall.com/dw-focus/)
06:30:41	6644/6644	---MC-	200	added ('OK')	application/rss+xml	etag:%22cf8cc1b4bfeb3494b03e48ef615aa5ab%22	http://demo.designwall.com/dw-focus/comments/feed/	C:/Users/kcjon/OneDrive/Desktop/news%20template/demo.designwall.com/dw-focus/comments/feed/index.html	(from http://demo.designwall.com/dw-focus/)
06:30:41	3904/3904	---MCZ	200	added ('OK')	text/css	etag:W/%2257f4ca2a-f40%22	http://demo.designwall.com/dw-focus/wp-content/plugins/dw-megamenu/assets/css/dw-megamenu.css?ver=4.7.26	C:/Users/kcjon/OneDrive/Desktop/news%20template/demo.designwall.com/dw-focus/wp-content/plugins/dw-megamenu/assets/css/dw-megamenuc4fe.css	(from http://demo.designwall.com/dw-focus/)
06:30:42	12562/12562	---MCZ	200	added ('OK')	text/css	etag:W/%225ad5c233-3112%22	http://demo.designwall.com/dw-focus/wp-content/plugins/dw-question-answer/templates/assets/css/style.css?ver=180720161355	C:/Users/kcjon/OneDrive/Desktop/news%20template/demo.designwall.com/dw-focus/wp-content/plugins/dw-question-answer/templates/assets/css/style1368.css	(from http://demo.designwall.com/dw-focus/)
06:30:42	1028/1028	---MCZ	200	added ('OK')	text/css	etag:W/%225ad5c233-404%22	http://demo.designwall.com/dw-focus/wp-content/plugins/dw-question-answer/templates/assets/css/rtl.css?ver=180720161355	C:/Users/kcjon/OneDrive/Desktop/news%20template/demo.designwall.com/dw-focus/wp-content/plugins/dw-question-answer/templates/assets/css/rtl1368.css	(from http://demo.designwall.com/dw-focus/)
06:30:42	2959/2959	---MCZ	200	added ('OK')	text/css	etag:W/%2257f4ca2c-b8f%22	http://demo.designwall.com/dw-focus/wp-content/plugins/dw-social-share/assets/css/style.css?ver=4.7.26	C:/Users/kcjon/OneDrive/Desktop/news%20template/demo.designwall.com/dw-focus/wp-content/plugins/dw-social-share/assets/css/stylec4fe.css	(from http://demo.designwall.com/dw-focus/)
